,SAC 0,Exports,SJR,DICU,Vern EC,SF_Tide,DXC
1940-07-23,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,4.82420015335083,1.0
1940-07-24,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,4.434500217437744,1.0
1940-07-25,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,4.019000053405762,1.0
1940-07-26,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,3.533900022506714,1.0
1940-07-27,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,3.978100299835205,1.0
1940-07-28,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,4.317200183868408,1.0
1940-07-29,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,4.771300315856934,1.0
1940-07-30,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,5.458800315856934,1.0
1940-07-31,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,6.095699787139893,1.0
1940-08-01,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,6.723599910736084,1.0
1940-08-02,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,7.251800060272217,1.0
1940-08-03,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,7.417599678039551,1.0
1940-08-04,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,7.226200103759766,1.0
1940-08-05,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,6.7368998527526855,1.0
1940-08-06,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,6.4369001388549805,1.0
1940-08-07,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,5.795799732208252,1.0
1940-08-08,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,5.437399864196777,1.0
1940-08-09,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,5.374199867248535,1.0
1940-08-10,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,5.684300422668457,1.0
1940-08-11,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,5.760000228881836,1.0
1940-08-12,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,6.016900062561035,1.0
1940-08-13,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,6.30019998550415,1.0
1940-08-14,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,6.478299617767334,1.0
1940-08-15,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,6.450699806213379,1.0
1940-08-16,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,6.423600196838379,1.0
1940-08-17,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,6.200700283050537,1.0
1940-08-18,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,5.712399959564209,1.0
1940-08-19,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,5.223899841308594,1.0
1940-08-20,16553.45933532715,11856.238765716553,2238.93896484375,3048.3681640625,462.7911682128906,4.722100257873535,1.0
